St. Louis, Missouri August Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193808,82.0,4.0
193908,76.3,-1.7
194008,78.2,0.2
194108,80.8,2.8
194208,76.3,-1.7
194308,80.9,2.9
194408,78.2,0.2
194508,78.0,0.0
194608,73.5,-4.5
194708,85.6,7.6
194808,78.7,0.7
194908,77.4,-0.6
195008,73.1,-4.9
195108,77.3,-0.7
195208,77.4,-0.6
195308,79.0,1.0
195408,80.7,2.7
195508,80.9,2.9
195608,80.0,2.0
195708,80.0,2.0
195808,78.2,0.2
195908,81.2,3.2
196008,79.5,1.5
196108,77.1,-0.9
196208,76.9,-1.1
196308,76.2,-1.8
196408,77.8,-0.2
196508,76.8,-1.2
196608,75.3,-2.7
196708,73.5,-4.5
196808,78.5,0.5
196908,77.7,-0.3
197008,77.0,-1.0
197108,76.4,-1.6
197208,77.0,-1.0
197308,77.6,-0.4
197408,75.2,-2.8
197508,78.6,0.6
197608,74.7,-3.3
197708,76.6,-1.4
197808,76.7,-1.3
197908,76.9,-1.1
198008,82.3,4.3
198108,75.9,-2.1
198208,75.0,-3.0
198308,83.9,5.9
198408,80.4,2.4
198508,74.5,-3.5
198608,73.8,-4.2
198708,78.7,0.7
198808,82.5,4.5
198908,77.3,-0.7
199008,77.4,-0.6
199108,79.2,1.2
199208,72.9,-5.1
199308,79.9,1.9
199408,75.8,-2.2
199508,83.1,5.1
199608,78.4,0.4
199708,76.8,-1.2
199808,79.8,1.8
199908,77.2,-0.8
200008,81.1,3.1
200108,80.3,2.3
200208,80.0,2.0
200308,80.8,2.8
200408,73.7,-4.3
200508,80.0,2.0
200608,80.1,2.1
200708,84.5,6.5
200808,76.7,-1.3
200908,76.4,-1.6
201008,82.3,4.3
201108,81.6,3.6
201208,79.7,1.7
201308,78.7,0.7
201408,79.9,1.9
201508,77.3,-0.7
201608,80.3,2.3
201708,75.6,-2.4
201808,80.0,2.0
201908,78.6,0.6
202008,77.9,-0.1
202108,81.1,3.1
202208,79.7,1.7
202308,79.5,1.5
