St. Louis, Missouri February Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193902,33.9,-1.4
194002,33.1,-2.2
194102,32.0,-3.3
194202,33.4,-1.9
194302,39.1,3.8
194402,37.4,2.1
194502,35.4,0.1
194602,40.1,4.8
194702,28.3,-7.0
194802,33.2,-2.1
194902,36.2,0.9
195002,36.6,1.3
195102,35.5,0.2
195202,39.8,4.5
195302,40.0,4.7
195402,43.9,8.6
195502,36.0,0.7
195602,36.9,1.6
195702,40.4,5.1
195802,25.5,-9.8
195902,36.1,0.8
196002,31.2,-4.1
196102,38.0,2.7
196202,37.9,2.6
196302,29.8,-5.5
196402,35.5,0.2
196502,34.8,-0.5
196602,33.2,-2.1
196702,32.3,-3.0
196802,30.3,-5.0
196902,36.0,0.7
197002,33.6,-1.7
197102,34.6,-0.7
197202,35.0,-0.3
197302,35.1,-0.2
197402,36.7,1.4
197502,32.6,-2.7
197602,44.2,8.9
197702,34.6,-0.7
197802,22.2,-13.1
197902,23.6,-11.7
198002,28.0,-7.3
198102,37.2,1.9
198202,28.4,-6.9
198302,37.9,2.6
198402,40.2,4.9
198502,30.4,-4.9
198602,34.3,-1.0
198702,39.9,4.6
198802,30.3,-5.0
198902,27.8,-7.5
199002,40.9,5.6
199102,41.2,5.9
199202,42.2,6.9
199302,31.2,-4.1
199402,34.2,-1.1
199502,35.6,0.3
199602,36.7,1.4
199702,38.9,3.6
199802,43.3,8.0
199902,43.2,7.9
200002,43.6,8.3
200102,35.8,0.5
200202,39.3,4.0
200302,31.4,-3.9
200402,35.9,0.6
200502,40.5,5.2
200602,35.3,0.0
200702,29.3,-6.0
200802,32.4,-2.9
200902,39.0,3.7
201002,30.6,-4.7
201102,36.7,1.4
201202,41.4,6.1
201302,35.7,0.4
201402,27.1,-8.2
201502,26.4,-8.9
201602,39.8,4.5
201702,47.2,11.9
201802,38.4,3.1
201902,35.2,-0.1
202002,37.6,2.3
202102,26.5,-8.8
202202,34.6,-0.7
202302,43.2,7.9
