St. Louis, Missouri July Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193807,81.3,1.5
193907,80.5,0.7
194007,79.5,-0.3
194107,81.0,1.2
194207,80.6,0.8
194307,81.9,2.1
194407,79.6,-0.2
194507,77.5,-2.3
194607,80.1,0.3
194707,76.8,-3.0
194807,79.3,-0.5
194907,81.3,1.5
195007,76.1,-3.7
195107,79.1,-0.7
195207,82.2,2.4
195307,82.3,2.5
195407,85.8,6.0
195507,84.3,4.5
195607,78.7,-1.1
195707,81.0,1.2
195807,77.4,-2.4
195907,78.4,-1.4
196007,76.6,-3.2
196107,78.7,-1.1
196207,77.1,-2.7
196307,78.6,-1.2
196407,79.7,-0.1
196507,77.8,-2.0
196607,84.0,4.2
196707,76.0,-3.8
196807,78.7,-1.1
196907,81.1,1.3
197007,78.6,-1.2
197107,76.0,-3.8
197207,78.2,-1.6
197307,79.4,-0.4
197407,80.5,0.7
197507,78.4,-1.4
197607,80.1,0.3
197707,80.8,1.0
197807,79.4,-0.4
197907,77.6,-2.2
198007,83.5,3.7
198107,78.5,-1.3
198207,79.1,-0.7
198307,83.3,3.5
198407,78.2,-1.6
198507,79.1,-0.7
198607,82.6,2.8
198707,80.7,0.9
198807,81.6,1.8
198907,78.8,-1.0
199007,79.7,-0.1
199107,80.3,0.5
199207,78.5,-1.3
199307,81.3,1.5
199407,78.7,-1.1
199507,80.5,0.7
199607,76.5,-3.3
199707,80.9,1.1
199807,79.6,-0.2
199907,83.6,3.8
200007,78.3,-1.5
200107,81.4,1.6
200207,82.8,3.0
200307,80.0,0.2
200407,78.0,-1.8
200507,80.1,0.3
200607,82.7,2.9
200707,78.4,-1.4
200807,79.3,-0.5
200907,75.6,-4.2
201007,82.5,2.7
201107,85.8,6.0
201207,88.1,8.3
201307,77.9,-1.9
201407,76.0,-3.8
201507,80.1,0.3
201607,81.1,1.3
201707,83.8,4.0
201807,80.6,0.8
201907,81.7,1.9
202007,82.5,2.7
202107,79.6,-0.2
202207,82.9,3.1
202307,81.5,1.7
