St. Louis, Missouri March Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193903,47.6,3.0
194003,43.0,-1.6
194103,39.9,-4.7
194203,46.3,1.7
194303,40.0,-4.6
194403,41.0,-3.6
194503,54.0,9.4
194603,56.5,11.9
194703,36.6,-8.0
194803,43.3,-1.3
194903,43.8,-0.8
195003,40.9,-3.7
195103,40.3,-4.3
195203,42.6,-2.0
195303,47.0,2.4
195403,42.3,-2.3
195503,45.1,0.5
195603,45.2,0.6
195703,43.6,-1.0
195803,38.2,-6.4
195903,46.0,1.4
196003,30.7,-13.9
196103,47.3,2.7
196203,40.9,-3.7
196303,50.1,5.5
196403,43.6,-1.0
196503,35.5,-9.1
196603,47.7,3.1
196703,49.4,4.8
196803,47.2,2.6
196903,38.5,-6.1
197003,41.3,-3.3
197103,42.4,-2.2
197203,45.7,1.1
197303,51.6,7.0
197403,48.8,4.2
197503,39.6,-5.0
197603,49.4,4.8
197703,50.0,5.4
197803,38.1,-6.5
197903,44.8,0.2
198003,40.0,-4.6
198103,45.6,1.0
198203,45.1,0.5
198303,44.3,-0.3
198403,36.9,-7.7
198503,49.4,4.8
198603,49.0,4.4
198703,48.5,3.9
198803,45.0,0.4
198903,44.5,-0.1
199003,49.3,4.7
199103,49.6,5.0
199203,48.0,3.4
199303,41.0,-3.6
199403,46.9,2.3
199503,48.2,3.6
199603,40.2,-4.4
199703,48.3,3.7
199803,43.9,-0.7
199903,43.5,-1.1
200003,49.8,5.2
200103,42.2,-2.4
200203,42.8,-1.8
200303,47.6,3.0
200403,49.9,5.3
200503,44.0,-0.6
200603,46.6,2.0
200703,53.7,9.1
200803,44.0,-0.6
200903,49.3,4.7
201003,48.9,4.3
201103,47.3,2.7
201203,61.1,16.5
201303,-99,-99
201403,42.0,-2.6
201503,46.0,1.4
201603,52.6,8.0
201703,49.5,4.9
201803,43.5,-1.1
201903,43.0,-1.6
202003,51.0,6.4
202103,52.1,7.5
202203,49.2,4.6
202303,45.9,1.3
