St. Louis, Missouri November Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193811,46.9,1.7
193911,44.1,-1.1
194011,42.3,-2.9
194111,45.5,0.3
194211,47.6,2.4
194311,41.7,-3.5
194411,46.4,1.2
194511,45.2,0.0
194611,47.3,2.1
194711,40.2,-5.0
194811,46.8,1.6
194911,48.5,3.3
195011,38.2,-7.0
195111,38.6,-6.6
195211,45.8,0.6
195311,47.3,2.1
195411,45.7,0.5
195511,41.4,-3.8
195611,44.7,-0.5
195711,43.2,-2.0
195811,48.7,3.5
195911,39.3,-5.9
196011,46.8,1.6
196111,45.4,0.2
196211,46.2,1.0
196311,47.0,1.8
196411,48.6,3.4
196511,49.6,4.4
196611,48.1,2.9
196711,43.1,-2.1
196811,44.5,-0.7
196911,44.0,-1.2
197011,44.3,-0.9
197111,46.7,1.5
197211,40.5,-4.7
197311,47.7,2.5
197411,44.7,-0.5
197511,49.0,3.8
197611,37.7,-7.5
197711,45.5,0.3
197811,47.4,2.2
197911,44.2,-1.0
198011,45.6,0.4
198111,48.5,3.3
198211,46.1,0.9
198311,48.0,2.8
198411,44.2,-1.0
198511,46.3,1.1
198611,41.2,-4.0
198711,48.9,3.7
198811,46.1,0.9
198911,46.6,1.4
199011,52.2,7.0
199111,41.9,-3.3
199211,43.8,-1.4
199311,43.3,-1.9
199411,51.3,6.1
199511,41.9,-3.3
199611,39.7,-5.5
199711,42.7,-2.5
199811,50.3,5.1
199911,53.3,8.1
200011,42.0,-3.2
200111,53.8,8.6
200211,44.2,-1.0
200311,49.4,4.2
200411,49.4,4.2
200511,48.6,3.4
200611,46.9,1.7
200711,46.5,1.3
200811,44.8,-0.4
200911,51.9,6.7
201011,48.8,3.6
201111,50.9,5.7
201211,46.1,0.9
201311,43.4,-1.8
201411,40.3,-4.9
201511,51.2,6.0
201611,51.8,6.6
201711,48.5,3.3
201811,39.2,-6.0
201911,42.1,-3.1
202011,51.5,6.3
202111,46.7,1.5
202211,47.3,2.1
202311,49.6,4.4
